Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
2040	-7540.617	-7440.298	-100.319	2.032391	0.297111	0.658414	1.07078	1.9737	15.39092
2050	-7533.089	-7441.867	-91.22231	1.764187	0.263403	0.627341	1.06279	2.04646	14.50807
2060	-7542.041	-7443.877	-98.16374	1.550493	0.233018	0.596751	1.05325	2.11698	15.22358
2070	-7558.928	-7452.312	-106.6158	1.917806	0.283262	0.645979	1.06779	2.00297	16.03206
2080	-7531.976	-7438.832	-93.14443	1.836301	0.272919	0.636395	1.0653	2.02539	14.69307
2090	-7537.416	-7441.147	-96.26963	1.927308	0.28444	0.647054	1.06806	2.00045	14.99649
2100	-7528.052	-7439.768	-88.2846	2.650377	0.360265	0.710128	1.08015	1.84946	14.12568
2110	-7534.647	-7449.898	-84.74997	2.011625	0.294658	0.656244	1.07028	1.97882	13.83609
2120	-7508.874	-7419.021	-89.85377	2.455567	0.342203	0.6961	1.0781	1.88359	14.30208
2130	-7542.538	-7446.289	-96.2499	2.204263	0.316496	0.675114	1.07435	1.93404	14.96682
2140	-7534.902	-7450.201	-84.70169	1.734759	0.259418	0.623478	1.06168	2.05543	13.85895
2150	-7540.501	-7440.347	-100.1535	2.427273	0.339451	0.693913	1.07775	1.88888	15.33488
2160	-7536.941	-7444.953	-91.98792	1.923065	0.283915	0.646575	1.06794	2.00157	14.56874
2170	-7533.734	-7440.586	-93.14748	2.016684	0.295258	0.656776	1.0704	1.97756	14.67534
2180	-7532.524	-7445.838	-86.68583	2.137626	0.309168	0.668894	1.07308	1.94886	14.01708
2190	-7542.032	-7445.36	-96.67228	2.201353	0.316181	0.674848	1.0743	1.93467	15.00935
2200	-7530.352	-7427.115	-103.237	2.403199	0.337083	0.692019	1.07744	1.89346	15.64564
2210	-7536.71	-7443.524	-93.18619	1.833852	0.272601	0.636097	1.06522	2.02609	14.69749
2220	-7540.679	-7439.195	-101.4839	2.135422	0.308921	0.668683	1.07304	1.94936	15.49711
2230	-7530.966	-7438.251	-92.71463	1.959827	0.288432	0.650673	1.06895	1.99194	14.63774
2240	-7540.636	-7446.506	-94.13003	1.736804	0.259697	0.62375	1.06176	2.0548	14.80158
2250	-7555.547	-7460.82	-94.72686	1.891443	0.279962	0.64295	1.06702	2.01007	14.8458
2260	-7549.179	-7453.914	-95.26565	2.081877	0.302856	0.663447	1.07191	1.96179	14.88064
2270	-7539.909	-7442.34	-97.56862	2.31261	0.327939	0.68461	1.07615	1.9113	15.08786
2280	-7529.167	-7435.028	-94.13865	2.073141	0.301852	0.662573	1.07172	1.96386	14.76881
2290	-7530.292	-7452.391	-77.90076	2.067509	0.301202	0.662006	1.07159	1.9652	13.14558
2300	-7548.511	-7455.08	-93.43049	1.711027	0.256159	0.620288	1.06074	2.06282	14.7342
2310	-7548.862	-7458.457	-90.40457	1.93621	0.285539	0.648054	1.06831	1.9981	14.40909
2320	-7520.006	-7426.523	-93.48303	1.936616	0.285589	0.6481	1.06832	1.99799	14.7169
2330	-7532.782	-7433.679	-99.10314	1.874367	0.277802	0.640953	1.0665	2.01474	15.28514
2340	-7519.024	-7432.131	-86.89221	1.612173	0.242142	0.606222	1.05638	2.09525	14.09026
2350	-7535.938	-7436.862	-99.07523	1.790359	0.266897	0.630693	1.06374	2.03867	15.29075
2360	-7524.963	-7430.644	-94.31928	1.968252	0.289455	0.651595	1.06917	1.98978	14.79736
2370	-7529.632	-7441.052	-88.58078	1.80915	0.269377	0.633053	1.06439	2.03318	14.23942
2380	-7545.935	-7451.602	-94.33345	2.096957	0.30458	0.664943	1.07224	1.95824	14.78591
2390	-7513.224	-7427.065	-86.15897	2.007881	0.294214	0.655849	1.07019	1.97975	13.97737
2400	-7523.638	-7434.431	-89.20695	2.412271	0.337978	0.692736	1.07756	1.89173	14.24173
2410	-7550.938	-7459.057	-91.88096	2.171277	0.312897	0.672073	1.07374	1.94129	14.53323
2420	-7533.432	-7446.59	-86.84184	2.280533	0.32461	0.681874	1.07565	1.91786	14.01839
2430	-7531.437	-7439.116	-92.32081	1.928532	0.284592	0.647192	1.06809	2.00012	14.60149
2440	-7524.868	-7432.716	-92.15204	1.685269	0.252577	0.616746	1.05967	2.071	14.60894
